id,campaign_id,audience_type,audience_label,details,extracted_at
5806,1,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5807,2,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5810,4,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5812,5,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5890,6,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5923,8,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5819,9,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5820,10,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5821,11,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5822,12,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5823,12,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5824,12,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
5828,13,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5831,14,new_customer,Yeni Müşteriler,,2026-08-10T13:45:46+00:00
5877,15,digital_customer,Dijital Müşteriler,,2026-08-10T13:45:46+00:00
5878,15,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5833,16,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5838,18,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5839,18,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5834,19,salary_customer,Maaş Müşterileri,,2026-08-10T13:45:46+00:00
5835,20,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5836,21,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5849,22,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5850,22,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5852,26,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5853,26,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5861,28,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5862,29,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5868,31,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5869,31,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5874,32,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5879,37,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5880,37,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5885,38,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5886,38,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5892,39,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5891,40,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5910,43,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5911,43,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5912,43,new_customer,Yeni Müşteriler,,2026-08-10T13:45:46+00:00
5913,44,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5914,45,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5916,46,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5915,47,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5918,50,digital_customer,Dijital Müşteriler,,2026-08-10T13:45:46+00:00
5919,52,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5920,52,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5921,52,new_customer,Yeni Müşteriler,,2026-08-10T13:45:46+00:00
5814,53,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5815,54,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5816,55,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5818,56,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5817,57,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5825,58,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5826,59,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5827,60,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5830,61,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5832,62,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5840,63,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5847,64,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5848,64,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5841,65,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5842,65,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5845,66,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5846,66,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5851,67,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5924,68,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5925,69,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5857,70,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5860,71,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5863,72,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5864,73,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5922,74,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5865,75,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5866,76,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5867,77,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5876,78,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5889,79,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5894,80,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5895,80,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5896,81,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5897,81,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5898,82,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5899,82,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5902,83,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5903,83,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5904,84,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5905,84,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5906,85,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5907,85,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5917,86,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5967,87,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5968,87,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6002,88,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6003,88,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6004,89,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6005,89,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6063,90,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6064,90,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6091,91,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6092,91,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6093,92,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6094,92,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6088,93,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6089,93,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6112,94,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6113,94,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6118,95,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6119,95,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6120,96,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6121,96,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6122,97,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6123,97,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6125,98,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6126,98,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6134,99,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6135,99,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
6146,100,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6147,100,business_customer,Ticari Müşteriler,,2026-08-10T13:45:46+00:00
