campaign_id,minimum_transaction_amount,maximum_transaction_amount,installment_count,installment_cost_rate,installment_cost_text,evidence_text,extracted_at
184,,,,0.0,Vade farksız (%0),Yuki Motor’da Vade Farksız 12 Aya Varan Taksit Fırsatı Kampanya Tarihleri 27.04.2026 - 31.12.2026 Kampanyayı Paylaş Kuveyt Türk bireysel kredi kartları ile 31 Aralık 2026 tarihine kadar Yuki Motor’da yapacağınız alışverişlerinizde vade farksız 12 aya varan taksit imkanı sizi bekliyor.,2026-08-10T13:45:46+00:00
187,,,10,0.0,Vade farksız (%0),"Müjde Evlilik Paketimize sahip olduğunuzda: 10.000 TL ve 50.000 TL arasında yaptığınız 3 harcamanızı vade farksız 10 taksite bölerek yüksek tutarlı ödemelerinizi kolaylaştırabilir, Kiğılı, Ramsey, Divarese, İmza, Tergan, Desa Grup, Brandy’s, Saat&Saat, Konyalı Saat ve Trendyol gibi markalarda çeyiz ve giyim alışveriş yapabilir, Koçtaş, Dyson, Fakir, Enplus, Lazzoni, Doğtaş, Weltew, Gürgençler, Vatan Bilgisayar gibi markalarla yeni evinizi avantajlı şekilde kurabilir, Qatar Airways, Halalbooking,",2026-08-10T13:45:46+00:00
189,,,9,0.0,Vade farksız (%0),Hepsiburada’da Yeni Müşteriye Özel Vade Farksız 50.000 TL Fırsatı!,2026-08-10T13:45:46+00:00
199,250000.0,500000.0,2,,,"Happy Bonus Kredi Kartı yapacağınız 1.000 TL – 250.000 TL tutar aralığındaki okul ödemeni z kâr paysız 3 ay, 250.000 TL ile 500.000 TL arasındaki ödemeler kâr paysız 2 aya kadar taksitlendirilebilecektir.",2026-08-10T13:45:46+00:00
200,250000.0,500000.0,2,,,Vergi ödemelerinizi tutarlarına göre 3 aya kadar taksitlendirebilirsin iz.,2026-08-10T13:45:46+00:00
201,1000.0,10000.0,,,,Faturanıza 3 Aya Kadar Kâr Paysız Taksit!,2026-08-10T13:45:46+00:00
205,1000.0,250000.0,,,,"Y alnızca 1.000 TL – 250.000 TL arasındaki 3 ay, 250.000 TL- 500.000 TL kadar kâr paysız 2 ay taksitlendirilebilecektir.",2026-08-10T13:45:46+00:00
208,1000.0,1000000.0,,,,Kampanya kapsamında müşterilerimize finansman geri ödemelerinde ilk taksit için 3 aya varan ödemesiz dönem hakkı tanınacaktır.,2026-08-10T13:45:46+00:00
210,10000.0,14999.0,,,,,2026-08-10T13:45:46+00:00
214,50000.0,400000.0,,,,Kampanya kapsamında müşterilerimize finansman geri ödemelerinde ilk taksit için 3 aya varan ödemesiz dönem hakkı tanınacaktır.,2026-08-10T13:45:46+00:00
222,1000.0,10000.0,3,,,Aksa Doğalgaz ve 4 farklı otomatik fatura talimatıyla 500 TL Bonus ve 3 taksit fırsatı!,2026-08-10T13:45:46+00:00
223,500000.0,1500000.0,,,,,2026-08-10T13:45:46+00:00
225,1000.0,250000.0,,,,Âlâ Kart ile Okul Ödemelerinize 3 Aya Kadar Kâr Paysız Taksit!,2026-08-10T13:45:46+00:00
226,1500000.0,5000000.0,,,,,2026-08-10T13:45:46+00:00
227,1000.0,10000.0,,,,Âlâ Kart ile Fatura Ödemenize 3 aya Kadar Kâr Paysız Taksit!,2026-08-10T13:45:46+00:00
229,500000.0,1500000.0,,,,,2026-08-10T13:45:46+00:00
231,500000.0,1500000.0,,,,,2026-08-10T13:45:46+00:00
234,500000.0,1500000.0,,,,,2026-08-10T13:45:46+00:00
235,250000.0,500000.0,,,,Âlâ Kart ile Sağlık Harcamanıza 3 Aya Kadar Kâr Paysız Taksit!,2026-08-10T13:45:46+00:00
237,,,4,,,Trafik Sigortası’nda 4 Taksit Avantajı : Trafik Sigortası ödemenizi Türkiye Finans kredi kartı ile yapmanız halinde 4 taksit imkânından yararlanabilirsiniz.,2026-08-10T13:45:46+00:00
238,250000.0,500000.0,2,,,Âlâ Kart vergi ödemelerinize 3 Aya Kadar Kâr Paysız Taksit!,2026-08-10T13:45:46+00:00
241,1500000.0,5000000.0,,,,,2026-08-10T13:45:46+00:00
242,,,4,,,"Âlâ Private’ın kişiselleştirilmiş hizmet ve çözümleri; lounge, fast track ve mil puan ile uçak bileti alımı FX İşlemlerinde Avantajlı Makas Aralıkları Yurt İçi Hisse Senedi Alım Satım İşlemlerinde Düşük Komisyon ile İşlem Yapabilme Ayrıcalığı 11.000 TL’ye varan Bonus Kazancı Bol Hoş Geldin Paketi Ücretsiz EFT–Havale–FAST ve 150.000’den fazla ATM’den ücretsiz para çekme kolaylığı Yüksek limitli, Dosya Masrafsız İhtiyaç Finansmanı Dosya Masrafsız 3 ay Ötelemeli İhtiyaç Finansmanı Günlük Hesap “Hoş",2026-08-10T13:45:46+00:00
243,500000.0,1500000.0,,,,,2026-08-10T13:45:46+00:00
244,500000.0,1500000.0,,,,,2026-08-10T13:45:46+00:00
245,1500000.0,5000000.0,,,,,2026-08-10T13:45:46+00:00
246,500000.0,1500000.0,,,,,2026-08-10T13:45:46+00:00
247,,,6,,,"A101'de 6 Taksit Tüm Kampanyalar 2 Kuyum, Optik ve Saat 3 Market ve Gıda 4 E-Ticaret 2 Elektronik ve Telekomünikasyon 3 Yapı Sektörü ve İklimlendirme 2 Akaryakıt 12 Diğer Kampanyalar 1 Eğitim, Kitap ve Kırtasiye 1 Genel Kampanyalar 6 Turizm ve Seyahat 0 Hobi ve Oyuncak 15 Mobilya ve Dekorasyon 4 Beyaz Eşya ve Ev Aletleri 17 Giyim ve Aksesuar Arşiv A101'de 6 Taksit Kampanya Dönemi 10-07-2025 - 31-08-2026 Sektör: Diğer Kampanya Koşulları: Ziraat Katılım Bankkart kredi kartınız ile A101 Marketlerin",2026-08-10T13:45:46+00:00
248,,,4,,,"Abdullah Kiğılı’da 2 Taksit Tüm Kampanyalar 2 Kuyum, Optik ve Saat 3 Market ve Gıda 4 E-Ticaret 2 Elektronik ve Telekomünikasyon 3 Yapı Sektörü ve İklimlendirme 2 Akaryakıt 12 Diğer Kampanyalar 1 Eğitim, Kitap ve Kırtasiye 1 Genel Kampanyalar 6 Turizm ve Seyahat 0 Hobi ve Oyuncak 15 Mobilya ve Dekorasyon 4 Beyaz Eşya ve Ev Aletleri 17 Giyim ve Aksesuar Arşiv Abdullah Kiğılı’da 2 Taksit Kampanya Dönemi 01-04-2025 - 31-08-2026 Sektör: Giyim ve Aksesuar Ziraat Katılım Bankkart kredi kartınız ile Ab",2026-08-10T13:45:46+00:00
